Identifier,Name,BondType,Country,Sector,Value,Scope1,Scope2,Scope3,AssetClass
FI00AB645ZZF,Cooper Group,Government,Bangladesh,,,25.05919607234532,73.0688630281377,4898941.685701038,FixedIncome
FI00AN436TWC,Meyers-Pena,Government,United Arab Emirates,,,642.973802603124,,964.0355195861757,FixedIncome
FI00AV178AKK,"Greene, Kline and Garrison",Corporate,La Reunion,Automobiles & Components,1765334735.420729,988.7958986596848,325583.010312964,2083619.4645406941,FixedIncome
FI00BC291KDG,Chavez-Ray,Government,Denmark,,24291971.318910226,4051.8957741011177,4902.711476315758,,FixedIncome
FI00BL277GVX,"Henderson, Edwards and Sexton",Corporate,Mozambique,Health Care Equipment & Services,52036762.9701269,2102.289989095733,2543.3392284887695,141730.94894274703,FixedIncome
FI00BU636BYY,Booth-Smith,Government,Sudan,,2217611298.217188,,20664.774740988523,,FixedIncome
FI00BW925UOX,Smith Ltd,Government,South Korea,,6047335.75109985,238256.68469088819,9845.815207664638,,FixedIncome
FI00CN697FVP,"Thompson, Kelley and Mcmahon",Corporate,U.S. Virgin Islands,"Pharmaceuticals, Biotechnology & Life Sciences",17646445.28958187,122529.33263227675,22065.766216712775,76617.78785499753,FixedIncome
FI00CQ672PUZ,"Graves, Johnson and Ross",Corporate,Bangladesh,Real Estate,,33.92365202932828,805.8180548726764,,FixedIncome
FI00CV591LDQ,Stewart Ltd,Corporate,Kenya,Capital Goods,481694822.8215785,5099.823204893901,,,FixedIncome
FI00CY720ZQB,"Ochoa, Garcia and Sandoval",Corporate,Malta,Materials,9810261.592312971,12018.727847992373,5706.134497994869,,FixedIncome
FI00DN901CFL,Duncan and Sons,Corporate,Botswana,Insurance,822587833.9694021,84586.91207503175,3998.1998613586416,125485.33837239607,FixedIncome
FI00EE725CSA,Gibbs-Bradley,Corporate,Chile,Banks,15759551.503815811,52823.86906036789,256903.97288716334,9918776.949777227,FixedIncome
FI00EK470LDN,Kirk-Pierce,Corporate,Uganda,Consumer Durables & Apparel,,8138.5867688391545,28784.86067996571,424696.2836381722,FixedIncome
FI00EO330YDQ,"White, Riddle and Garza",Government,Myanmar,,778416134.7842622,,12089.207249101708,812.0740757193917,FixedIncome
FI00ES942JNN,Mcmillan-Martinez,Corporate,Gambia,Health Care Equipment & Services,68719458.63561223,1987.277692031914,57138.388751438964,35925.78206152593,FixedIncome
FI00EZ295CWG,"Hull, Mcgrath and Thomas",Government,Macau,,801980609.3838915,310585.44510006404,4447.100427540095,,FixedIncome
FI00FB114ADV,"Heath, Warren and Mcbride",Corporate,Cambodia,Real Estate,,,35904.69694207563,103856.0896209849,FixedIncome
FI00FE417DLY,Lopez Group,Government,Ukraine,,130243515.06392646,1675.9390304441924,2177.3282387504264,11935.159406741466,FixedIncome
FI00FI221ORO,Nunez-Smith,Government,Denmark,,184396957.97290435,9369.909331819224,240222.46936405156,23976.394060772105,FixedIncome
FI00FU915OVO,"Flynn, Garcia and Gilmore",Government,Saudi Arabia,,2484325671.309425,1838.2629577685166,3706.8550225752792,131366.8525210316,FixedIncome
FI00FV343MQR,Shaffer-Manning,Corporate,Switzerland,Household & Personal Products,209717519.58816355,384.359685311453,204.45224843285519,4830.173832315802,FixedIncome
FI00GI449YDU,Hurst-Jackson,Corporate,New Zealand,Real Estate,290779530.92122406,13220.906007688538,,72166.88877782052,FixedIncome
FI00GU547FZQ,Huang-Foster,Corporate,Aland Islands,Food & Staples Retailing,616552367.1180499,20794.930777484173,5715.987860593833,,FixedIncome
FI00HB440JBR,Jenkins-Mathews,Corporate,Austria,Energy,44415605.26551922,9892.091645512799,,495.8689178675387,FixedIncome
FI00HP986JFT,"Johnson, Miller and King",Corporate,Mongolia,,8823289.974484332,193.16728511654253,29194.646647272697,335577.9942937544,FixedIncome
FI00HU353OBJ,"Moore, Harrison and Bowman",Government,China,,36865236.10697909,222133.4239826646,261982.7206610881,,FixedIncome
FI00HU767MPH,Martin-Gomez,Corporate,Netherlands,,4083137.7866568184,557.1779485377868,12499.00012436875,113285.18582616778,FixedIncome
FI00IB498NKR,Hall Inc,Corporate,Azerbaijan,Retailing,3215849.331520437,50648.167542287185,4262.475966294594,44797.93239860735,FixedIncome
FI00IK762SYO,Jackson-Wilcox,Government,Ivory Coast,,,830.7290213097384,857.4738911905619,15904.578401854738,FixedIncome
FI00JG674UPD,"Mendoza, Jenkins and Ortiz",Government,Norway,,22215259.828739766,337.56049147372437,,24496.814077663643,FixedIncome
FI00JK242KJG,Nelson-Dean,Corporate,Philippines,Retailing,60897417.90279277,9000.593052605336,86104.76888832837,260533.0880579342,FixedIncome
FI00JQ366NQB,Jackson-Mendoza,Government,Saudi Arabia,,,2611.554975240672,3143.6998983344965,28345.459807059397,FixedIncome
FI00JS661XHP,Simmons-Mcdaniel,Government,Gabon,,17445158.04190189,182652.72310316225,275261.49046386936,14539.776430372202,FixedIncome
FI00KA617JVQ,Powell-Brooks,Corporate,Saudi Arabia,Software & Services,1635711051.478437,150.44393136970422,33891.93038947299,7990.948810597255,FixedIncome
FI00KK854CEZ,Sanders-Burgess,Government,Greenland,,711927838.7161562,295.780510191745,141.58205669417367,73852.09047548461,FixedIncome
FI00KO830ERF,Taylor-Sawyer,Corporate,Mongolia,Retailing,128419783.34776951,1937.3666404739338,10270.033502354014,,FixedIncome
FI00KS697CCI,Roberts LLC,Government,Vietnam,,10224286.254430488,53943.6699509319,1621.3210664439484,,FixedIncome
FI00KW366ZPZ,Robles Group,Corporate,Guam,Real Estate,17366558.24810375,367854.3880954015,850.0995016425424,22884.334657679115,FixedIncome
FI00KW389RAY,Fry-Sanchez,Corporate,Bulgaria,Energy,5625423.834779546,1380.5309407302318,,,FixedIncome
FI00KY915LAQ,Mullins Inc,Corporate,Austria,Insurance,296107595.5022681,,,2912.1130085278887,FixedIncome
FI00LO698ZHC,Bell-Lewis,Corporate,Monaco,Insurance,79645011.64282142,405.31372541239097,17810.989725241416,73569.14237541288,FixedIncome
FI00LT450IHQ,Khan Inc,Government,Latvia,,20976113.833988514,133.61713244498043,22429.2357968783,3284.948530132775,FixedIncome
FI00MJ523MOC,Smith Ltd,Government,Anguilla,,631116303.9934988,489.55995912708454,25441.184415667605,29229.68432104453,FixedIncome
FI00MU181GYA,Bates LLC,Government,Mauritius,,70253906.89059532,9352.238419868816,,1043265.9131440272,FixedIncome
FI00NB642XGC,Bradley-Figueroa,Government,Kenya,,496956246.26088,80.16350120664754,,8232.144426459805,FixedIncome
FI00NE494LCN,"Ross, Hardin and Navarro",Government,Guam,,21725509.204332735,120.29371472636498,2317.7423495310913,46631.02771167271,FixedIncome
FI00NL730DCF,Chen and Sons,Government,Portugal,,15708653.139575478,523.6366274242182,688.6134815388276,,FixedIncome
FI00NM895ZIV,Jones-Bradley,Government,Qatar,,148021035.43225047,437.3772235543838,62.594057577742575,,FixedIncome
FI00NO485BKN,"Wilson, Sweeney and Wong",Government,Myanmar,,47789706.9086422,57634.27285136009,,,FixedIncome
FI00NU451FXM,Rodriguez-Walker,Government,Thailand,,,,4538.448892395052,,FixedIncome
FI00NU512LXN,Morgan PLC,Government,Macedonia,,2138262659.9404612,,271.44391716251477,,FixedIncome
FI00OA748OHA,Carter-Rivera,Corporate,Zambia,Consumer Services,84792215.5498007,5405.829506759192,8379.848488474965,24398.626452236913,FixedIncome
FI00OB564QMV,Cisneros-Olson,Corporate,Cambodia,Software & Services,,11.12851857204737,3221.2520688854806,,FixedIncome
FI00OU038UPK,Hamilton Ltd,Corporate,Estonia,Insurance,1779318.0218699323,26595.006463111942,7099.206395360131,88346.13447988898,FixedIncome
FI00OV358QMW,"Wright, Scott and Evans",Government,Vietnam,,227989755.03614897,80941.58383825075,3670.330826324931,,FixedIncome
FI00OX472QDB,Smith-Logan,Corporate,Liechtenstein,Media & Entertainment,709909597.9968288,83690.88581243293,,5726491.720735274,FixedIncome
FI00PE748VRJ,"Rodriguez, Prince and Vasquez",Government,Ireland,,22368486.104649372,5797.414522808045,10855.458561182391,11910.358843026828,FixedIncome
FI00PJ722QIC,Johnson-Nelson,Government,Lebanon,,293995766.7372959,9850.3783931079,102481.76136322597,130501.88176468018,FixedIncome
FI00PK769KXU,Jackson Ltd,Government,Samoa,,20162404.18111664,,1121.5635545341859,69631.55057743128,FixedIncome
FI00PR256QFN,Jones-Young,Government,Kuwait,,7504804.886046008,151.95328193385825,44918.70469297864,44678.13048455322,FixedIncome
FI00PU956ZLU,Fields Group,Corporate,Nigeria,Media & Entertainment,1940827001.1414053,,13772.11020225793,,FixedIncome
FI00PY388AUK,Phillips Inc,Corporate,Qatar,Telecommunication Services,627968963.6476052,109352.14189938454,11169.79934110446,,FixedIncome
FI00QC796ETQ,Castro and Sons,Government,Canada,,90388092.80877697,1075.8015239905287,2367.081414611724,93519.73517602235,FixedIncome
